127.0.0.1 - - [21/Jan/2026:21:57:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:04 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:04 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:04 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:04 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:04 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:58:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
